,Prices,title,location,Model,Marque,Kilometrage,Etat,Annee_Modele,Premiere_main,Nombre_de_portes,Origine,Type_de_Carburant,boite_de_vitesse
18,235 000 DH,Peugeot 3008 HDI,"Safir, Tétouan",3008,Peugeot,110 000 - 119 999,Excellent,2020,Oui,5,WW au Maroc,Diesel,Automatique
19,,FORD MIUSTANG COLLECTION,"Hivernage, Marrakech",Mustang,Ford,45 000 - 49 999,Excellent,1998,Oui,3,Importée neuve,Essence,Automatique
20,640 000 DH,Range Rover vogue très propre,"Autre secteur, Rabat",Megane,Renault,130 000 - 139 999,,2020,,,,Diesel,Automatique
21,,Renault Express Diesel Manuelle,"Hay Hassani, Casablanca",Express,Renault,40 000 - 44 999,Excellent,2022,Oui,5,WW au Maroc,Diesel,Manuelle
22,,fiat tipo diesel model 2020,"Cité Adrar, Agadir",Tipo,Fiat,50 000 - 54 999,Très bon,2020,Oui,5,WW au Maroc,Diesel,Manuelle
23,670 000 DH,Mercedes-Benz Classe C Diesel Automatique 2022,"Hay Riad, Rabat",Classe C,Mercedes-Benz,95 000 - 99 999,Excellent,2022,Oui,5,Importée neuve,Diesel,Automatique
24,153 000 DH,Opel combo,"Autre secteur, Meknès",Combo,Opel,90 000 - 94 999,Neuf,2019,Non,5,WW au Maroc,Diesel,Manuelle
25,,kia ceed 2022,"Autre secteur, Fès",Ceed,Kia,65 000 - 69 999,Neuf,2022,Oui,5,WW au Maroc,Diesel,Automatique
26,,AUDI Q8 Competition S-LINE 50tdi 2025,"Ain El Hayani, Tanger",Q8,Audi,0 - 4 999,Neuf,2025,Oui,5,Importée neuve,Diesel,Automatique
27,,Seat Ateca Diesel Automatique 2021 à Settat,"Toute la ville, Settat",Ateca,Seat,110 000 - 119 999,Excellent,2021,Oui,5,Dédouanée,Diesel,Automatique
28,,Bentley bentayga S Hybride,"Route de Casablanca, Marrakech",Bentayga,Bentley,15 000 - 19 999,Excellent,2024,Oui,5,Importée neuve,Hybride,Automatique
29,96 000 DH,Fiat punto modèle 2019,"Hamria, Meknès",Punto,Fiat,110 000 - 119 999,Neuf,2019,Oui,5,WW au Maroc,Diesel,Manuelle
30,115 000 DH,Ds4 full options automatique 6cv,"Toute la ville, Berrechid",DS4,DS,170 000 - 179 999,Excellent,2013,Non,5,WW au Maroc,Diesel,Automatique
31,172 000 DH,Volkswagen touareg,"Toute la ville, Berrechid",Touareg,Volkswagen,160 000 - 169 999,Excellent,2017,Non,5,WW au Maroc,Diesel,Automatique
32,360 000 DH,Tiguan R line,"Toute la ville, Chichaoua",Tiguan,Volkswagen,160 000 - 169 999,Excellent,2017,,5,Dédouanée,Diesel,Automatique
33,220 000 DH,BMW SERIE 5 Diesel Automatique 2015 à Casablanca,"Autre secteur, Casablanca",Série 5,BMW,190 000 - 199 999,Bon,2015,Non,5,WW au Maroc,Diesel,Automatique
34,,Dacia duster 2022,"Centre, Fès",Duster,Dacia,60 000 - 64 999,Neuf,2022,Oui,5,WW au Maroc,Diesel,Manuelle
35,,Hyundai creta 2022 automatic a tetouan,"Touabel, Tétouan",Creta,Hyundai,55 000 - 59 999,Neuf,2022,Oui,5,WW au Maroc,Diesel,Automatique
36,159 000 DH,Golf 7 Diwana 2023,"Ancienne Médina, Meknès",Golf 7,Volkswagen,200 000 - 249 999,Neuf,2014,Non,5,Dédouanée,Diesel,Manuelle
37,375 000 DH,Maserati Levante Diesel Automatique 2017,"Ain Sebaa, Casablanca",Levante,Maserati,140 000 - 149 999,Excellent,2017,Oui,5,Importée neuve,Diesel,Automatique
38,320 000 DH,Audi Q3 Diesel Automatique 2019 à Casablanca,"2 Mars, Casablanca",Q3,Audi,90 000 - 94 999,Excellent,2019,Oui,5,WW au Maroc,Diesel,Automatique
39,650 000 DH,Land Rover Range Rover Sport Diesel Automatique,"Hay Riad, Rabat",Range Rover Sport,Land Rover,80 000 - 84 999,Excellent,2018,Oui,5,Importée neuve,Diesel,Automatique
40,118 000 DH,kia Picanto 2021,"Hay Massira, Marrakech",Picanto,Kia,90 000 - 94 999,Excellent,2021,Oui,5,WW au Maroc,Essence,Manuelle
41,,Audi Q2 Diesel Automatique 2020 à Casablanca,"Aïn Chock, Casablanca",Q2,Audi,140 000 - 149 999,Excellent,2020,,,Dédouanée,Diesel,Automatique
42,235 000 DH,Peugeot 3008 HDI,"Safir, Tétouan",3008,Peugeot,110 000 - 119 999,Excellent,2020,Oui,5,WW au Maroc,Diesel,Automatique
43,,FORD MIUSTANG COLLECTION,"Hivernage, Marrakech",Mustang,Ford,45 000 - 49 999,Excellent,1998,Oui,3,Importée neuve,Essence,Automatique
44,640 000 DH,Range Rover vogue très propre,"Autre secteur, Rabat",Megane,Renault,130 000 - 139 999,,2020,,,,Diesel,Automatique
45,,Renault Express Diesel Manuelle,"Hay Hassani, Casablanca",Express,Renault,40 000 - 44 999,Excellent,2022,Oui,5,WW au Maroc,Diesel,Manuelle
46,,fiat tipo diesel model 2020,"Cité Adrar, Agadir",Tipo,Fiat,50 000 - 54 999,Très bon,2020,Oui,5,WW au Maroc,Diesel,Manuelle
47,670 000 DH,Mercedes-Benz Classe C Diesel Automatique 2022,"Hay Riad, Rabat",Classe C,Mercedes-Benz,95 000 - 99 999,Excellent,2022,Oui,5,Importée neuve,Diesel,Automatique
48,153 000 DH,Opel combo,"Autre secteur, Meknès",Combo,Opel,90 000 - 94 999,Neuf,2019,Non,5,WW au Maroc,Diesel,Manuelle
49,,kia ceed 2022,"Autre secteur, Fès",Ceed,Kia,65 000 - 69 999,Neuf,2022,Oui,5,WW au Maroc,Diesel,Automatique
50,,AUDI Q8 Competition S-LINE 50tdi 2025,"Ain El Hayani, Tanger",Q8,Audi,0 - 4 999,Neuf,2025,Oui,5,Importée neuve,Diesel,Automatique
51,,Seat Ateca Diesel Automatique 2021 à Settat,"Toute la ville, Settat",Ateca,Seat,110 000 - 119 999,Excellent,2021,Oui,5,Dédouanée,Diesel,Automatique
52,,Bentley bentayga S Hybride,"Route de Casablanca, Marrakech",Bentayga,Bentley,15 000 - 19 999,Excellent,2024,Oui,5,Importée neuve,Hybride,Automatique
53,96 000 DH,Fiat punto modèle 2019,"Hamria, Meknès",Punto,Fiat,110 000 - 119 999,Neuf,2019,Oui,5,WW au Maroc,Diesel,Manuelle
54,115 000 DH,Ds4 full options automatique 6cv,"Toute la ville, Berrechid",DS4,DS,170 000 - 179 999,Excellent,2013,Non,5,WW au Maroc,Diesel,Automatique
55,172 000 DH,Volkswagen touareg,"Toute la ville, Berrechid",Touareg,Volkswagen,160 000 - 169 999,Excellent,2017,Non,5,WW au Maroc,Diesel,Automatique
56,360 000 DH,Tiguan R line,"Toute la ville, Chichaoua",Tiguan,Volkswagen,160 000 - 169 999,Excellent,2017,,5,Dédouanée,Diesel,Automatique
57,220 000 DH,BMW SERIE 5 Diesel Automatique 2015 à Casablanca,"Autre secteur, Casablanca",Série 5,BMW,190 000 - 199 999,Bon,2015,Non,5,WW au Maroc,Diesel,Automatique
58,,Audi Q3 2019,"Autre secteur, Fès",Q3,Audi,140 000 - 149 999,Neuf,2019,Oui,5,WW au Maroc,Diesel,Automatique
59,93 000 DH,Fiat 500 diesel,"2 Mars, Casablanca",500,Fiat,75 000 - 79 999,Très bon,2017,Non,5,WW au Maroc,Diesel,Manuelle
60,136 000 DH,Renault clio 5 tout option,"Ben Souda, Fès",Clio,Renault,80 000 - 84 999,Très bon,2021,Oui,5,WW au Maroc,Diesel,Manuelle
61,,Range Rover Evoque Dynamic,"Safir, Tétouan",Range Rover Evoque,Land Rover,90 000 - 94 999,Très bon,2018,Non,5,WW au Maroc,Diesel,Automatique
62,265 000 DH,Hyundai tucson automatique full option,"Targa, Marrakech",Tucson,Hyundai,140 000 - 149 999,Excellent,2020,Oui,5,WW au Maroc,Diesel,Automatique
63,162 000 DH,Duster automatique 2021,"Autre secteur, Meknès",Duster,Dacia,190 000 - 199 999,Neuf,2021,Non,5,WW au Maroc,Diesel,Automatique
64,127 000 DH,Citroen cactus Automatique diesel,"Agdal, Fès",C4,Citroen,100 000 - 109 999,Très bon,2015,Non,5,WW au Maroc,Diesel,Automatique
65,,Renault Kadjar Diesel Automatique 2022,"Bourgogne, Casablanca",Kadjar,Renault,55 000 - 59 999,Excellent,2022,Oui,5,WW au Maroc,Diesel,Automatique
66,149 000 DH,"Honda CR-V Diesel 1,6L Automatique 6cv","2 Mars, Casablanca",CR-V,Honda,180 000 - 189 999,Excellent,2013,Non,5,WW au Maroc,Diesel,Automatique
67,,opel astra innovation 90k certifié bva 1ére main,"Wilaya, Tétouan",Astra,Opel,85 000 - 89 999,Excellent,2020,Oui,5,WW au Maroc,Diesel,Automatique
68,,Audi Q8 SLINE,"Yacoub El Mansour, Rabat",Q8,Audi,0 - 4 999,Neuf,2025,Non,5,Importée neuve,Diesel,Automatique
69,1 870 000 DH,Porsche Cayenne Coupé Hybride Automatique 2024,"Malabata, Tanger",Cayenne,Porsche,0 - 4 999,Neuf,2024,,,Importée neuve,Hybride,Automatique
70,360 000 DH,Land Rover Velar Diesel Automatique 2017 à Salé,"Hay Riad, Rabat",Range Rover Velar,Land Rover,180 000 - 189 999,Excellent,2017,Oui,5,WW au Maroc,Diesel,Automatique
71,123 000 DH,nissan juke reprise,"Hay el Fath, Rabat",Juke,Nissan,130 000 - 139 999,Excellent,2013,Non,5,WW au Maroc,Diesel,Manuelle
72,165 000 DH,Dacia Duster 4*4 toutes options 2020 Tetouan,"Centre ville, Tétouan",Duster,Dacia,70 000 - 74 999,Excellent,2020,Oui,5,Importée neuve,Diesel,Manuelle
73,,Peugeot 301,"Route de Sefrou, Fès",301,Peugeot,90 000 - 94 999,Excellent,2020,Oui,5,WW au Maroc,Diesel,Manuelle
74,780 000 DH,Audi RSQ3 2023,"Malabata, Tanger",Q3,Audi,25 000 - 29 999,Excellent,2023,Oui,5,Importée neuve,Essence,Automatique
75,,AUDI SQ8 Importée neuve 2021,"Ain El Hayani, Tanger",Q8,Audi,50 000 - 54 999,Excellent,2021,,5,Importée neuve,Diesel,Automatique
76,,VOLKSWAGEN TIGUAN R-Line 2025,"Ain El Hayani, Tanger",Tiguan,Volkswagen,0 - 4 999,Neuf,2025,,,Importée neuve,Diesel,Automatique
77,285 000 DH,Mercedes-Benz Classe GLC Diesel Automatique 2015,"Hay Riad, Rabat",Classe GLC,Mercedes-Benz,190 000 - 199 999,Excellent,2015,Non,5,WW au Maroc,Diesel,Automatique
78,219 000 DH,SEAT IBIZA FR 1.0 TSI AUTOMATIQUE TTesOPTIONS 2024,"Centre, Tanger",Ibiza,Seat,15 000 - 19 999,Neuf,2024,Oui,5,WW au Maroc,Essence,Automatique
79,149 000 DH,Volkswagen golf 7 Diesel tout option,"Ben Souda, Fès",Golf 7,Volkswagen,160 000 - 169 999,Très bon,2015,Non,5,WW au Maroc,Diesel,Manuelle
80,,Mercedes CLE 220d Diesel,"Route de Casablanca, Marrakech",Classe CL,Mercedes-Benz,0 - 4 999,Neuf,2025,Oui,5,Importée neuve,Diesel,Automatique
81,,Mercedes classe C Facelift BVA 2020/09 A Casa,"Ain Sebaa, Casablanca",Classe C,Mercedes-Benz,90 000 - 94 999,Excellent,2021,Oui,5,WW au Maroc,Diesel,Automatique
82,490 000 DH,Volkswagen Tiguan Diesel Automatique 2021 à Rabat,"Hay Riad, Rabat",Tiguan,Volkswagen,95 000 - 99 999,Excellent,2021,Oui,5,Dédouanée,Diesel,Automatique
83,,Mercedes-Benz classe CLA 220d pack amg,"Centre, Kénitra",Classe CLA,Mercedes-Benz,190 000 - 199 999,Excellent,2014,Non,5,Importée neuve,Diesel,Automatique
84,,Mercedes-Benz Classe GLC COUPE Automatique 2025,"Yacoub El Mansour, Rabat",Classe GLC,Mercedes-Benz,0 - 4 999,Neuf,2025,Oui,5,Importée neuve,Hybride,Automatique
85,188 000 DH,Volkswagen Beetle Diesel Automatique 2017,"Hay Al Hassani, Marrakech",Coccinelle,Volkswagen,100 000 - 109 999,Excellent,2017,Non,3,WW au Maroc,Diesel,Automatique
86,,Volkswagen Tiguan R-line 2025 à Tanger,"Ain El Hayani, Tanger",Tiguan,Volkswagen,0 - 4 999,Neuf,2025,Oui,5,Importée neuve,Diesel,Automatique
87,,Volkswagen T-Roc Diesel Automatique 2023,"Biranzarane, El Jadida",T-Roc,Volkswagen,40 000 - 44 999,Excellent,2023,Oui,5,WW au Maroc,Diesel,Automatique
88,75 000 DH,Ford Fiesta 2012 essence 1.2L,"Autre secteur, Rabat",Fiesta,Ford,180 000 - 189 999,Excellent,2012,Non,,WW au Maroc,Essence,Manuelle
89,430 000 DH,Mercedes-Benz Classe C Diesel Automatique 2019,"Hay Riad, Rabat",Classe C,Mercedes-Benz,120 000 - 129 999,Excellent,2019,Oui,3,WW au Maroc,Diesel,Automatique
90,173 000 DH,Volkswagen Touareg Diesel Automatique 2015,"Ain Sebaa, Casablanca",Touareg,Volkswagen,160 000 - 169 999,Excellent,2015,Non,5,WW au Maroc,Diesel,Automatique
91,185 000 DH,range evoque,"2 Mars, Casablanca",Touran,Volkswagen,120 000 - 129 999,Excellent,2015,Non,5,WW au Maroc,Diesel,Automatique
92,,Audi A5 Tech Pro S Line Plus Diesel,"Route de Casablanca, Marrakech",A5,Audi,0 - 4 999,Neuf,2025,Oui,5,Importée neuve,Diesel,Automatique
93,,Porsche Cayenne Coupé Hybrid Automatique 2025,"Ain El Hayani, Tanger",Cayenne,Porsche,0 - 4 999,Neuf,2025,Oui,5,Importée neuve,Hybride,Automatique
94,,Citroen C3 Diesel Manuelle 2019,"Hay Targa, Marrakech",C3,Citroen,150 000 - 159 999,Excellent,2019,Non,5,WW au Maroc,Diesel,Manuelle
95,,Dacia Sandero Stepway Diesel 2021 à Agadir,"Hay Zaytoun, Agadir",Sandero,Dacia,80 000 - 84 999,Excellent,2021,Oui,5,WW au Maroc,Diesel,Manuelle
96,,BMW Série 328 Diesel,"Aïn Chock, Casablanca",Série 3,BMW,150 000 - 159 999,Excellent,2016,Oui,5,Dédouanée,Diesel,Automatique
97,,Audi Q8 S-LINE,"Malabata, Tanger",Q8,Audi,80 000 - 84 999,Excellent,2019,,5,Importée neuve,Diesel,Automatique
98,,Hyundai Tucson Diesel Automatique,"Californie, Casablanca",Tucson,Hyundai,85 000 - 89 999,Excellent,2022,Oui,5,WW au Maroc,Diesel,Automatique
99,,Peugeot 3008 GTLIN 2019,"Autre secteur, Fès",Clio,Renault,75 000 - 79 999,Excellent,2023,Oui,5,WW au Maroc,Diesel,Manuelle
100,,RENAULT CLIO,"Agdal, Marrakech",Classe C,Mercedes-Benz,10 000 - 14 999,Excellent,2024,Non,5,Dédouanée,Diesel,Automatique
101,,Mercedes C-Class 2024 AMG Line – Dédouanée 2025,"Av Mohammed VI, Marrakech",Leon,Seat,170 000 - 179 999,Excellent,2018,Non,5,WW au Maroc,Diesel,Manuelle
102,,Seat Leon fr,"Californie, Casablanca",Dokker,Dacia,190 000 - 199 999,Très bon,2020,Non,5,WW au Maroc,Diesel,Manuelle
103,124 000 DH,Dacia doker,"Kouilma, Tétouan",Classe CL,Mercedes-Benz,0 - 4 999,Neuf,2025,Oui,5,Importée neuve,Diesel,Automatique
104,,Mercedes CLE 220d Diesel,"Route de Casablanca, Marrakech",Classe C,Mercedes-Benz,90 000 - 94 999,Excellent,2021,Oui,5,WW au Maroc,Diesel,Automatique
105,,Mercedes classe C Facelift BVA 2020/09 A Casa,"Ain Sebaa, Casablanca",Tiguan,Volkswagen,95 000 - 99 999,Excellent,2021,Oui,5,Dédouanée,Diesel,Automatique
106,490 000 DH,Volkswagen Tiguan Diesel Automatique 2021 à Rabat,"Hay Riad, Rabat",Classe CLA,Mercedes-Benz,190 000 - 199 999,Excellent,2014,Non,5,Importée neuve,Diesel,Automatique
107,,Mercedes-Benz classe CLA 220d pack amg,"Centre, Kénitra",Classe GLC,Mercedes-Benz,0 - 4 999,Neuf,2025,Oui,5,Importée neuve,Hybride,Automatique
108,,Mercedes-Benz Classe GLC COUPE Automatique 2025,"Yacoub El Mansour, Rabat",Coccinelle,Volkswagen,100 000 - 109 999,Excellent,2017,Non,3,WW au Maroc,Diesel,Automatique
109,188 000 DH,Volkswagen Beetle Diesel Automatique 2017,"Hay Al Hassani, Marrakech",Tiguan,Volkswagen,0 - 4 999,Neuf,2025,Oui,5,Importée neuve,Diesel,Automatique
110,,Volkswagen Tiguan R-line 2025 à Tanger,"Ain El Hayani, طنجة",T-Roc,Volkswagen,40 000 - 44 999,Excellent,2023,Oui,5,WW au Maroc,Diesel,Automatique
111,,Volkswagen T-Roc Diesel Automatique 2023,"Biranzarane, El Jadida",Fiesta,Ford,180 000 - 189 999,Excellent,2012,Non,,WW au Maroc,Essence,Manuelle
112,75 000 DH,Ford Fiesta 2012 essence 1.2L,"Autre secteur, Rabat",Classe C,Mercedes-Benz,120 000 - 129 999,Excellent,2019,Oui,3,WW au Maroc,Diesel,Automatique
113,430 000 DH,Mercedes-Benz Classe C Diesel Automatique 2019,"Hay Riad, Rabat",Touareg,Volkswagen,160 000 - 169 999,Excellent,2015,Non,5,WW au Maroc,Diesel,Automatique
114,173 000 DH,Volkswagen Touareg Diesel Automatique 2015,"Ain Sebaa, Casablanca",Touran,Volkswagen,120 000 - 129 999,Excellent,2015,Non,5,WW au Maroc,Diesel,Automatique
115,185 000 DH,range evoque,"2 Mars, Casablanca",A5,Audi,0 - 4 999,Neuf,2025,Oui,5,Importée neuve,Diesel,Automatique
116,,Audi A5 Tech Pro S Line Plus Diesel,"Route de Casablanca, Marrakech",Cayenne,Porsche,0 - 4 999,Neuf,2025,Oui,5,Importée neuve,Hybride,Automatique
117,,Porsche Cayenne Coupé Hybrid Automatique 2025,"Ain El Hayani, Tanger",C3,Citroen,150 000 - 159 999,Excellent,2019,Non,5,WW au Maroc,Diesel,Manuelle
118,,Citroen C3 Diesel Manuelle 2019,"Hay Targa, Marrakech",Sandero,Dacia,80 000 - 84 999,Excellent,2021,Oui,5,WW au Maroc,Diesel,Manuelle
119,,Dacia Sandero Stepway Diesel 2021 à Agadir,"Hay Zaytoun, Agadir",Série 3,BMW,150 000 - 159 999,Excellent,2016,Oui,5,Dédouanée,Diesel,Automatique
120,,BMW Série 328 Diesel,"Aïn Chock, Casablanca",Q8,Audi,80 000 - 84 999,Excellent,2019,,5,Importée neuve,Diesel,Automatique
121,,Audi Q8 S-LINE,"Malabata, Tanger",Tucson,Hyundai,85 000 - 89 999,Excellent,2022,Oui,5,WW au Maroc,Diesel,Automatique
122,,Hyundai Tucson Diesel Automatique,"Californie, Casablanca",3008,Peugeot,110 000 - 119 999,Neuf,2019,Non,5,WW au Maroc,Diesel,Automatique
123,,Peugeot 3008 GTLIN 2019,"Autre secteur, Fès",Clio,Renault,75 000 - 79 999,Excellent,2023,Oui,5,WW au Maroc,Diesel,Manuelle
124,,RENAULT CLIO,"Agdal, Marrakech",Classe C,Mercedes-Benz,10 000 - 14 999,Excellent,2024,Non,5,Dédouanée,Diesel,Automatique
125,,Mercedes C-Class 2024 AMG Line – Dédouanée 2025,"Av Mohammed VI, Marrakech",Leon,Seat,170 000 - 179 999,Excellent,2018,Non,5,WW au Maroc,Diesel,Manuelle
126,,Seat Leon fr,"Californie, Casablanca",Dokker,Dacia,190 000 - 199 999,Très bon,2020,Non,5,WW au Maroc,Diesel,Manuelle
127,124 000 DH,Dacia doker,"Kouilma, Tétouan",Range Rover Vogue,Land Rover,200 000 - 249 999,Excellent,2014,Oui,5,WW au Maroc,Diesel,Automatique
128,,Land Rover Range Rover Vogue Diesel Automatique,"Centre Ville, Marrakech",V40,Volvo,35 000 - 39 999,Bon,2019,Oui,5,WW au Maroc,Diesel,Automatique
129,185 000 DH,VOLVO V40 Diesel Automatique 2019 à Rabat.,"Autre secteur, Rabat",Range Rover Sport,Land Rover,200 000 - 249 999,Excellent,2014,Oui,5,Importée neuve,Diesel,Automatique
130,,Land Rover Range Rover Sport Diesel Automatique,"Hay Riad, Rabat",Classe GLE,Mercedes-Benz,0 - 4 999,Neuf,2025,Oui,5,Importée neuve,Hybride,Automatique
131,,Mercedes GLE 350de Hybride,"Route de Casablanca, Marrakech",Classe A,Mercedes-Benz,65 000 - 69 999,Très bon,2022,Non,5,WW au Maroc,Diesel,Automatique
132,385 000 DH,Mercedes- A200d PACK AMG,"Centre ville, Tanger",Golf 8,Volkswagen,0 - 4 999,Neuf,2025,,5,Importée neuve,Essence,Automatique
133,790 000 DH,Volkswagen Golf 8.5 R facelift,"Malabata, Tanger",Classe A,Mercedes-Benz,130 000 - 139 999,Excellent,2020,Oui,5,Importée neuve,Diesel,Automatique
134,,MERCEDES CALASSE A IMPORTÉE,"Hivernage, Marrakech",Q3,Audi,190 000 - 199 999,Très bon,2014,Non,5,WW au Maroc,Diesel,Automatique
135,,Audi q3 Diesel Automatique 2014,"Hay Hassani, Casablanca",Rifter,Peugeot,55 000 - 59 999,Excellent,2021,Oui,5,WW au Maroc,Diesel,Manuelle
136,185 000 DH,Peugeot - Rifter 2021,"Autre secteur, Rabat",Classe A,Mercedes-Benz,95 000 - 99 999,Excellent,2020,Oui,5,Dédouanée,Diesel,Automatique
137,398 000 DH,Mercedes Class A Sedan Pack AMG - DERKAOUI AUTO,"Val Fleuri, Tanger",Classe C,Mercedes-Benz,50 000 - 54 999,Excellent,2021,,,Importée neuve,Diesel,Automatique
138,,MERCEDES CLASSE C 220d 2021,"Ain El Hayani, Tanger",Classe E,Mercedes-Benz,0 - 4 999,Neuf,2025,Non,5,Importée neuve,Hybride,Automatique
139,,Mercedes-Benz Classe E Automatique,"Yacoub El Mansour, Rabat",Classe GLC,Mercedes-Benz,130 000 - 139 999,Neuf,2022,Oui,5,Dédouanée,Diesel,Automatique
140,,Mercedes benz GLC 300,"Autre secteur, Fès",C70,Volvo,95 000 - 99 999,Très bon,1999,Oui,3,WW au Maroc,Essence,Automatique
141,,VOLVO C70 COUPÉ ESSENCE,"Hivernage, Marrakech",500X,Fiat,25 000 - 29 999,Excellent,2023,Oui,5,WW au Maroc,Essence,Automatique
142,220 000 DH,Fiat 500X automatique full option 1er main,"Targa, Marrakech",Fiesta,Ford,120 000 - 129 999,Très bon,2017,Non,5,WW au Maroc,Diesel,Manuelle
143,100 000 DH,Ford fiesta diesel,"2 Mars, Casablanca",2008,Peugeot,60 000 - 64 999,Excellent,2020,Oui,5,WW au Maroc,Diesel,Automatique
144,229 000 DH,Peugeot 2008 Diesel Automatique modèle fin 2020,"Ain Sebaa, Casablanca",Tiguan,Volkswagen,80 000 - 84 999,Excellent,2022,Oui,5,Importée neuve,Diesel,Automatique
145,,Volkswagen Tiguan R-line,"Aïn Chock, Casablanca",Logan,Dacia,10 000 - 14 999,Neuf,2024,Oui,5,WW au Maroc,Diesel,Manuelle
146,320 000 DH,mercedes-Benz GLA AMG,"Toute la ville, Ouarzazate",Q5,Audi,190 000 - 199 999,Très bon,2014,Non,5,Dédouanée,Diesel,Automatique
147,285 000 DH,Audi Q5 Diesel Automatique 2014 à Errachidia,"Toute la ville, Errachidia",Megane,Renault,55 000 - 59 999,Très bon,2023,,5,WW au Maroc,Diesel,Automatique
148,220 000 DH,Renault Mégane 4 intens automatique,"2 Mars, Casablanca",Ateca,Seat,25 000 - 29 999,Excellent,2023,Oui,5,WW au Maroc,Diesel,Automatique
149,,Seat Ateca Diesel Automatique 2023 à Casablanca,"Bourgogne, Casablanca",Glory 580,DFSK,50 000 - 54 999,Excellent,2021,Oui,3,WW au Maroc,Essence,Automatique
150,135 000 DH,Dfsk Glory 580 Automatic Cuir toit 2021 7 places,"2 Mars, Casablanca",Micra,Nissan,60 000 - 64 999,,2021,Oui,,WW au Maroc,Diesel,Manuelle
151,126 000 DH,Nissan Micra Diesel,"Centre, Fès",Wrangler,Jeep,35 000 - 39 999,Excellent,2016,Oui,3,WW au Maroc,Diesel,Automatique
152,,JEEP WRANGLER SAHARA,"Hivernage, Marrakech",Série 5,BMW,180 000 - 189 999,Très bon,2017,Oui,5,WW au Maroc,Diesel,Automatique
153,275 000 DH,BMW Série 5 Diesel Automatique 2017 à Marrakech,"Hay Al Hassani, Marrakech",Astra,Opel,170 000 - 179 999,Excellent,2016,Non,5,WW au Maroc,Diesel,Manuelle
154,117 000 DH,Opel Astra Diesel,"Aïn Chock, Casablanca",C-Elysée,Citroen,110 000 - 119 999,Très bon,2019,Oui,5,WW au Maroc,Diesel,Manuelle
